,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,201604020RAL,0,2016,04/02/2016,1,0,RAL,23,1500.0,1512.3375415547957,CHA,18,1500.0,1487.6624584452043,H,W,0.6400649998028851
1,1,201604020RAL,1,2016,04/02/2016,1,0,CHA,18,1500.0,1487.6624584452043,RAL,23,1500.0,1512.3375415547957,A,L,0.3599350001971149
2,2,201604020DAL,0,2016,04/02/2016,1,0,DAL,30,1500.0,1517.6615052562063,AUS,18,1500.0,1482.3384947437937,H,W,0.6400649998028851
3,2,201604020DAL,1,2016,04/02/2016,1,0,AUS,18,1500.0,1482.3384947437937,DAL,30,1500.0,1517.6615052562063,A,L,0.3599350001971149
4,3,2016040200SD,0,2016,04/02/2016,1,0,SD,23,1500.0,1485.2666361568995,SF,25,1500.0,1514.7333638431005,H,L,0.6400649998028851
5,3,2016040200SD,1,2016,04/02/2016,1,0,SF,25,1500.0,1514.7333638431005,SD,23,1500.0,1485.2666361568995,A,W,0.3599350001971149
6,4,201604020CIN,0,2016,04/02/2016,1,0,CIN,12,1500.0,1481.4085647623879,DET,15,1500.0,1518.5914352376121,H,L,0.6400649998028851
7,4,201604020CIN,1,2016,04/02/2016,1,0,DET,15,1500.0,1518.5914352376121,CIN,12,1500.0,1481.4085647623879,A,W,0.3599350001971149
8,5,201604020ATL,0,2016,04/02/2016,1,0,ATL,26,1500.0,1516.511218765845,NSH,16,1500.0,1483.488781234155,H,W,0.6400649998028851
9,5,201604020ATL,1,2016,04/02/2016,1,0,NSH,16,1500.0,1483.488781234155,ATL,26,1500.0,1516.511218765845,A,L,0.3599350001971149
10,6,201604020SEA,0,2016,04/02/2016,1,0,SEA,25,1500.0,1511.082127632385,VAN,21,1500.0,1488.917872367615,H,W,0.6400649998028851
11,6,201604020SEA,1,2016,04/02/2016,1,0,VAN,21,1500.0,1488.917872367615,SEA,25,1500.0,1511.082127632385,A,L,0.3599350001971149
12,7,2016040300LA,0,2016,04/03/2016,1,0,LA,16,1500.0,1482.1081046213787,SF,19,1514.7333638431005,1532.6252592217218,H,L,0.6203029319931177
13,7,2016040300LA,1,2016,04/03/2016,2,0,SF,19,1514.7333638431005,1532.6252592217218,LA,16,1500.0,1482.1081046213787,A,W,0.3796970680068823
14,8,201604080CIN,0,2016,04/08/2016,2,0,CIN,17,1481.4085647623879,1458.5208996619706,IND,22,1500.0,1522.8876651004173,H,L,0.6150583481450229
15,8,201604080CIN,1,2016,04/08/2016,1,0,IND,22,1500.0,1522.8876651004173,CIN,17,1481.4085647623879,1458.5208996619706,A,W,0.3849416518549771
16,9,2016040800SJ,0,2016,04/08/2016,1,0,SJ,26,1500.0,1504.993446880865,SEA,25,1511.082127632385,1506.08868075152,H,W,0.6252406241191418
17,9,2016040800SJ,1,2016,04/08/2016,2,0,SEA,25,1511.082127632385,1506.08868075152,SJ,26,1500.0,1504.993446880865,A,L,0.37475937588085817
18,10,2016040900SF,0,2016,04/09/2016,3,0,SF,27,1532.6252592217218,1546.801786205344,SEA,18,1506.08868075152,1491.912153767898,H,W,0.6744547457134576
19,10,2016040900SF,1,2016,04/09/2016,3,0,SEA,18,1506.08868075152,1491.912153767898,SF,27,1532.6252592217218,1546.801786205344,A,L,0.32554525428654235
20,11,201604090AUS,0,2016,04/09/2016,2,0,AUS,18,1482.3384947437937,1452.0251749895488,DAL,29,1517.6615052562063,1547.9748250104512,H,L,0.5920172018770533
21,11,201604090AUS,1,2016,04/09/2016,2,0,DAL,29,1517.6615052562063,1547.9748250104512,AUS,18,1482.3384947437937,1452.0251749895488,A,W,0.4079827981229467
22,12,2016040900LA,0,2016,04/09/2016,2,0,LA,21,1482.1081046213787,1486.9432417369399,SD,20,1485.2666361568995,1480.4314990413384,H,W,0.6358656264368223
23,12,2016040900LA,1,2016,04/09/2016,2,0,SD,20,1485.2666361568995,1480.4314990413384,LA,21,1482.1081046213787,1486.9432417369399,A,L,0.3641343735631777
24,13,201604090MAD,0,2016,04/09/2016,1,0,MAD,25,1500.0,1518.6468566023352,MIN,11,1500.0,1481.3531433976648,H,W,0.6400649998028851
25,13,201604090MAD,1,2016,04/09/2016,1,0,MIN,11,1500.0,1481.3531433976648,MAD,25,1500.0,1518.6468566023352,A,L,0.3599350001971149
26,14,201604090RAL,0,2016,04/09/2016,2,0,RAL,24,1512.3375415547957,1524.0571349639918,JAX,19,1500.0,1488.280406590804,H,W,0.6562589571711297
27,14,201604090RAL,1,2016,04/09/2016,1,0,JAX,19,1500.0,1488.280406590804,RAL,24,1512.3375415547957,1524.0571349639918,A,L,0.3437410428288703
28,15,201604090DET,0,2016,04/09/2016,2,0,DET,16,1518.5914352376121,1486.2546139149838,PIT,25,1500.0,1532.3368213226283,H,L,0.664333723538684
29,15,201604090DET,1,2016,04/09/2016,1,0,PIT,25,1500.0,1532.3368213226283,DET,16,1518.5914352376121,1486.2546139149838,A,W,0.33566627646131597
30,16,2016040900NY,0,2016,04/09/2016,1,0,NY,24,1500.0,1512.3375415547957,OTT,19,1500.0,1487.6624584452043,H,W,0.6400649998028851
31,16,2016040900NY,1,2016,04/09/2016,1,0,OTT,19,1500.0,1487.6624584452043,NY,24,1500.0,1512.3375415547957,A,L,0.3599350001971149
32,17,201604090ATL,0,2016,04/09/2016,2,0,ATL,18,1516.511218765845,1523.207907664047,CHA,16,1487.6624584452043,1480.965769547002,H,W,0.6773703475388645
33,17,201604090ATL,1,2016,04/09/2016,2,0,CHA,16,1487.6624584452043,1480.965769547002,ATL,18,1516.511218765845,1523.207907664047,A,L,0.3226296524611355
