division,abbr,team_name,franchise,href
EAST,DC,DC Breeze,Breeze,breeze
EAST,MTL,Montreal Royal,Royal,royal
EAST,NY,New York Empire,Empire,empire
EAST,OTT,Ottawa Outlaws,Outlaws,outlaws
EAST,PHI,Philadelphia Phoenix,Phoenix,phoenix
EAST,TOR,Toronto Rush,Rush,rush
MIDWEST,CHI,Chicago Wildfire,Wildfire,wildfire
MIDWEST,DET,Detroit Mechanix,Mechanix,mechanix
MIDWEST,IND,Indianapolis AlleyCats,Alleycats,alleycats
MIDWEST,MAD,Madison Radicals,Radicals,radicals
MIDWEST,MIN,Minnesota Wind Chill,Windchill,windchill
MIDWEST,PIT,Pittsburgh Thunderbirds,Thunderbirds,thunderbirds
WEST,LA,LA Aviators,Aviators,aviators
WEST,SD,San Diego Growlers,Growlers,growlers
WEST,SF,San Francisco FlameThrowers,Flamethrowers,flamethrowers
WEST,SJ,San Jose Spiders,Spiders,spiders
WEST,SEA,Seattle Cascades,Cascades,cascades
WEST,VAN,Vancouver Riptide,Riptide,riptide
SOUTH,ATL,Atlanta Hustle,Hustle,hustle
SOUTH,AUS,Austin Sol,Sol,sol
SOUTH,DAL,Dallas Roughnecks,Roughnecks,roughnecks
SOUTH,JAX,Jacksonville Cannons,Cannons,cannons
SOUTH,NSH,Nashville Nightwatch,Nightwatch,nightwatch
SOUTH,RAL,Raleigh Flyers,Flyers,flyers
