,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/05/2019,DAL,19,RAL,17,0
1,04/06/2019,AUS,18,RAL,22,0
2,04/06/2019,SEA,27,SJ,28,0
3,04/06/2019,SD,20,LA,18,0
4,04/06/2019,TB,18,ATL,17,0
5,04/12/2019,LA,22,SJ,18,0
6,04/13/2019,NY,21,DC,18,0
7,04/13/2019,AUS,19,DAL,17,0
8,04/13/2019,SD,25,SJ,24,0
9,04/13/2019,ATL,21,RAL,24,0
10,04/14/2019,IND,20,MAD,22,0
11,04/20/2019,DC,20,PHI,18,0
12,04/20/2019,SEA,20,LA,24,0
13,04/20/2019,MAD,26,PIT,17,0
14,04/20/2019,MIN,25,CHI,26,0
15,04/20/2019,DAL,21,AUS,17,0
16,04/20/2019,IND,26,DET,22,0
17,04/20/2019,SJ,16,SD,21,0
18,04/20/2019,TB,17,ATL,14,0
19,04/26/2019,SD,20,SEA,18,0
20,04/27/2019,OTT,13,TOR,19,0
21,04/27/2019,DET,16,IND,19,0
22,04/27/2019,MIN,25,PIT,22,0
23,04/27/2019,PHI,16,NY,25,0
24,04/27/2019,ATL,15,RAL,21,0
25,04/27/2019,LA,25,SEA,19,0
26,04/28/2019,NY,23,MTL,19,0
27,05/04/2019,TOR,21,MTL,16,0
28,05/04/2019,ATL,23,AUS,19,0
29,05/04/2019,CHI,23,MIN,17,0
30,05/04/2019,DC,24,OTT,15,0
31,05/04/2019,PIT,16,IND,19,0
32,05/04/2019,SEA,25,SD,21,0
33,05/04/2019,SJ,16,LA,25,0
34,05/05/2019,DET,22,MIN,31,0
35,05/05/2019,RAL,23,AUS,18,0
36,05/05/2019,PHI,21,OTT,16,0
37,05/11/2019,TOR,25,OTT,24,0
38,05/11/2019,LA,21,SD,27,0
39,05/11/2019,MAD,19,MIN,20,0
40,05/11/2019,PIT,21,CHI,18,0
41,05/11/2019,NY,26,DC,25,0
42,05/11/2019,SJ,24,SEA,19,0
43,05/11/2019,IND,22,ATL,27,0
44,05/11/2019,AUS,21,DAL,25,0
45,05/11/2019,TB,19,RAL,24,0
46,05/17/2019,SD,32,SJ,20,0
47,05/18/2019,LA,25,SJ,21,0
48,05/18/2019,CHI,22,MAD,25,0
49,05/18/2019,PIT,24,DET,11,0
50,05/18/2019,MIN,11,IND,13,0
51,05/18/2019,AUS,17,TB,19,0
52,05/18/2019,RAL,25,ATL,22,0
53,05/18/2019,OTT,22,DC,21,0
54,05/18/2019,NY,22,TOR,17,0
55,05/19/2019,MTL,19,DC,20,0
56,05/19/2019,DAL,28,TB,21,0
57,05/19/2019,PHI,18,TOR,16,0
58,05/25/2019,NY,20,OTT,15,0
59,05/25/2019,TOR,22,MAD,15,0
60,05/25/2019,PHI,15,MTL,25,0
61,05/25/2019,CHI,18,IND,17,0
62,05/25/2019,PIT,24,MIN,17,0
63,05/25/2019,ATL,23,TB,14,0
64,05/25/2019,DAL,20,AUS,15,0
65,05/26/2019,DC,27,MTL,17,0
66,05/26/2019,DET,14,MAD,16,0
