,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/05/2019,DAL,0,RAL,0,0
1,04/06/2019,TB,0,ATL,0,0
2,04/06/2019,SD,0,LA,0,0
3,04/06/2019,AUS,0,RAL,0,0
4,04/06/2019,SEA,0,SJ,0,0
5,04/12/2019,LA,0,SJ,0,0
6,04/13/2019,SD,0,SJ,0,0
7,04/13/2019,NY,0,DC,0,0
8,04/13/2019,AUS,0,DAL,0,0
9,04/13/2019,ATL,0,RAL,0,0
10,04/14/2019,IND,0,MAD,0,0
11,04/20/2019,DAL,0,AUS,0,0
12,04/20/2019,SJ,0,SD,0,0
13,04/20/2019,TB,0,ATL,0,0
14,04/20/2019,DC,0,PHI,0,0
15,04/20/2019,MIN,0,CHI,0,0
16,04/20/2019,MAD,0,PIT,0,0
17,04/20/2019,SEA,0,LA,0,0
18,04/20/2019,IND,0,DET,0,0
19,04/26/2019,SD,0,SEA,0,0
20,04/27/2019,DET,0,IND,0,0
21,04/27/2019,LA,0,SEA,0,0
22,04/27/2019,OTT,0,TOR,0,0
23,04/27/2019,MIN,0,PIT,0,0
24,04/27/2019,PHI,0,NY,0,0
25,04/27/2019,ATL,0,RAL,0,0
26,04/28/2019,NY,0,MTL,0,0
27,05/04/2019,SJ,0,LA,0,0
28,05/04/2019,PIT,0,IND,0,0
29,05/04/2019,TOR,0,MTL,0,0
30,05/04/2019,CHI,0,MIN,0,0
31,05/04/2019,SEA,0,SD,0,0
32,05/04/2019,DC,0,OTT,0,0
33,05/04/2019,ATL,0,AUS,0,0
34,05/05/2019,DET,0,MIN,0,0
35,05/05/2019,RAL,0,AUS,0,0
36,05/05/2019,PHI,0,OTT,0,0
37,05/11/2019,SJ,0,SEA,0,0
38,05/11/2019,TB,0,RAL,0,0
39,05/11/2019,PIT,0,CHI,0,0
40,05/11/2019,LA,0,SD,0,0
41,05/11/2019,TOR,0,OTT,0,0
42,05/11/2019,NY,0,DC,0,0
43,05/11/2019,MAD,0,MIN,0,0
44,05/11/2019,IND,0,ATL,0,0
45,05/11/2019,AUS,0,DAL,0,0
46,05/17/2019,SD,0,SJ,0,0
47,05/18/2019,PIT,0,DET,0,0
48,05/18/2019,LA,0,SJ,0,0
49,05/18/2019,CHI,0,MAD,0,0
50,05/18/2019,MIN,0,IND,0,0
51,05/18/2019,NY,0,TOR,0,0
52,05/18/2019,RAL,0,ATL,0,0
53,05/18/2019,OTT,0,DC,0,0
54,05/18/2019,AUS,0,TB,0,0
55,05/19/2019,DAL,0,TB,0,0
56,05/19/2019,PHI,0,TOR,0,0
57,05/19/2019,MTL,0,DC,0,0
58,05/25/2019,PIT,0,MIN,0,0
59,05/25/2019,DAL,0,AUS,0,0
60,05/25/2019,CHI,0,IND,0,0
61,05/25/2019,TOR,0,MAD,0,0
62,05/25/2019,PHI,0,MTL,0,0
63,05/25/2019,NY,0,OTT,0,0
64,05/25/2019,ATL,0,TB,0,0
65,05/26/2019,DET,0,MAD,0,0
66,05/26/2019,DC,0,MTL,0,0
67,06/01/2019,LA,0,SD,0,0
68,06/01/2019,DET,0,PIT,0,0
69,06/01/2019,TB,0,AUS,0,0
70,06/01/2019,MAD,0,IND,0,0
71,06/01/2019,DC,0,NY,0,0
72,06/01/2019,MIN,0,CHI,0,0
73,06/01/2019,SEA,0,SJ,0,0
74,06/01/2019,OTT,0,MTL,0,0
75,06/02/2019,ATL,0,AUS,0,0
