franchise,division,abbr,team_name,href,first_season,last_season
Alleycats,MIDWEST,IND,Indianapolis AlleyCats,alleycats,2012,
Aviators,WEST,LA,LA Aviators,aviators,2015,
Breeze,EAST,DC,DC Breeze,breeze,2013,
Cannons,SOUTH,TB,Tampa Bay Cannons,cannons,2015,
Cascades,WEST,SEA,Seattle Cascades,cascades,2014,
Constitution,EAST,CON,Connecticut Constitution,constitution,2012,2012
Cranes,MIDWEST,COL,Columbus Cranes,cranes,2012,2012
Dragons,EAST,ROC,Rochester Dragons,dragons,2012,2015
Empire,EAST,NY,New York Empire,empire,2013,
Express,SOUTH,CHA,Charlotte Express,express,2015,2016
Flamethrowers,WEST,SF,San Francisco FlameThrowers,flamethrowers,2014,
Flyers,SOUTH,RAL,Raleigh Flyers,flyers,2015,
Growlers,WEST,SD,San Diego Growlers,growlers,2015,
Hammerheads,EAST,NJ,New Jersey Hammerheads,hammerheads,2013,2013
Hustle,SOUTH,ATL,Atlanta Hustle,hustle,2015,
Lions,WEST,SLC,Salt Lake Lions,lions,2014,2014
Mechanix,MIDWEST,DET,Detroit Mechanix,mechanix,2012,
Nightwatch,SOUTH,NSH,Nashville Nightwatch,nightwatch,2015,
Outlaws,EAST,OTT,Ottawa Outlaws,outlaws,2015,
Phoenix,EAST,PHI,Philadelphia Phoenix,phoenix,2013,
Radicals,MIDWEST,MAD,Madison Radicals,radicals,2013,
Rampage,EAST,RHI,Rhode Island Rampage,rampage,2012,2012
Revolution,MIDWEST,CIN,Cincinnati Revolution,revolution,2012,2016
Riptide,WEST,VAN,Vancouver Riptide,riptide,2014,
Roughnecks,SOUTH,DAL,Dallas Roughnecks,roughnecks,2016,
Royal,EAST,MTL,Montreal Royal,royal,2014,
Rush,EAST,TOR,Toronto Rush,rush,2013,
Sol,SOUTH,AUS,Austin Sol,sol,2016,
Spiders,WEST,SJ,San Jose Spiders,spiders,2014,
Spinners,EAST,PHO,Philadelphia Spinners,spinners,2012,2012
Thunderbirds,MIDWEST,PIT,Pittsburgh Thunderbirds,thunderbirds,2015,
Wildfire,MIDWEST,CHI,Chicago Wildfire,wildfire,2013,
Windchill,MIDWEST,MIN,Minnesota Wind Chill,windchill,2013,
