division,abbr,team_name,franchise,href,first_season,last_season
EAST,BUF,Buffalo Hunters,Dragons,hunters,2012,2012
EAST,CON,Connecticut Constitution,Constitution,constitution,2012,2012
EAST,DC,DC Breeze,Breeze,breeze,2013,
EAST,MTL,Montreal Royal,Royal,royal,2014,
EAST,NJ,New Jersey Hammerheads,Hammerheads,hammerheads,2013,2013
EAST,NY,New York Empire,Empire,empire,2013,
EAST,OTT,Ottawa Outlaws,Outlaws,outlaws,2015,
EAST,PHI,Philadelphia Phoenix,Phoenix,phoenix,2013,
EAST,PHS,Philadelphia Spinners,Spinners,spinners,2012,2012
EAST,RIR,Rhode Island Rampage,Rampage,rampage,2012,2012
EAST,ROC,Rochester Dragons,Dragons,dragons,2013,2015
EAST,TOR,Toronto Rush,Rush,rush,2013,
MIDWEST,BGR,Bluegrass Revolution,Revolution,revolution,2012,2012
MIDWEST,CHI,Chicago Wildfire,Wildfire,wildfire,2014,
MIDWEST,CIN,Cincinnati Revolution,Revolution,revolution,2013,2016
MIDWEST,COL,Columbus Cranes,Cranes,cranes,2012,2012
MIDWEST,DET,Detroit Mechanix,Mechanix,mechanix,2012,
MIDWEST,IND,Indianapolis AlleyCats,Alleycats,alleycats,2012,
MIDWEST,MAD,Madison Radicals,Radicals,radicals,2013,
MIDWEST,MIN,Minnesota Wind Chill,Windchill,windchill,2013,
MIDWEST,PIT,Pittsburgh Thunderbirds,Thunderbirds,thunderbirds,2015,
MIDWEST,WCW,Windy City Wildfire,Wildfire,wildfire,2013,2013
WEST,LA,LA Aviators,Aviators,aviators,2015,
WEST,SD,San Diego Growlers,Growlers,growlers,2015,
WEST,SF,San Francisco FlameThrowers,Flamethrowers,flamethrowers,2014,2018
WEST,SJ,San Jose Spiders,Spiders,spiders,2014,
WEST,SLC,Salt Lake Lions,Lions,lions,2014,2014
WEST,SEA,Seattle Cascades,Cascades,cascades,2015,
WEST,SER,Seattle Raptors,Cascades,cascades,2014,2014
WEST,VAN,Vancouver Riptide,Riptide,riptide,2014,2017
SOUTH,ATL,Atlanta Hustle,Hustle,hustle,2015,
SOUTH,AUS,Austin Sol,Sol,sol,2016,
SOUTH,CHA,Charlotte Express,Express,express,2015,2016
SOUTH,DAL,Dallas Roughnecks,Roughnecks,roughnecks,2016,
SOUTH,JAX,Jacksonville Cannons,Cannons,cannons,2015,2017
SOUTH,NSH,Nashville Nightwatch,Nightwatch,nightwatch,2015,2018
SOUTH,RAL,Raleigh Flyers,Flyers,flyers,2015,
SOUTH,TB,Tampa Bay Cannons,Cannons,cannons,2018,
