date,season,neutral,playoff,team1,team2,score1,score2
04/14/2012,2012,0,0,RHI,CON,23,29
04/14/2012,2012,0,0,PHO,ROC,26,14
04/14/2012,2012,0,0,COL,IND,22,21
04/14/2012,2012,0,0,CIN,DET,19,17
04/21/2012,2012,0,0,COL,RHI,19,22
04/21/2012,2012,0,0,IND,CIN,18,20
04/21/2012,2012,0,0,PHO,CON,22,16
04/22/2012,2012,0,0,DET,RHI,24,26
04/28/2012,2012,0,0,CIN,COL,12,8
04/28/2012,2012,0,0,RHI,PHO,22,30
04/29/2012,2012,0,0,DET,ROC,26,22
05/05/2012,2012,0,0,CON,PHO,29,23
05/05/2012,2012,0,0,RHI,ROC,20,19
05/05/2012,2012,0,0,IND,DET,22,13
05/06/2012,2012,0,0,COL,DET,26,20
05/12/2012,2012,0,0,DET,CIN,21,19
05/12/2012,2012,0,0,PHO,RHI,24,18
05/12/2012,2012,0,0,CON,ROC,30,15
05/12/2012,2012,0,0,COL,IND,37,29
05/19/2012,2012,0,0,CON,RHI,22,20
05/19/2012,2012,0,0,IND,DET,20,18
05/20/2012,2012,0,0,ROC,RHI,21,23
05/20/2012,2012,0,0,CIN,IND,18,19
05/26/2012,2012,0,0,DET,IND,21,28
05/26/2012,2012,0,0,CON,COL,28,21
05/26/2012,2012,0,0,RHI,CIN,21,20
05/27/2012,2012,0,0,ROC,CIN,24,25
05/27/2012,2012,0,0,PHO,COL,23,20
06/02/2012,2012,0,0,DET,COL,24,21
06/02/2012,2012,0,0,ROC,CON,13,17
06/02/2012,2012,0,0,IND,CIN,20,18
06/09/2012,2012,0,0,CON,RHI,24,18
06/09/2012,2012,0,0,PHO,ROC,33,16
06/16/2012,2012,0,0,CON,PHO,19,29
06/16/2012,2012,0,0,ROC,IND,21,26
06/16/2012,2012,0,0,COL,CIN,23,20
06/17/2012,2012,0,0,DET,IND,23,21
06/23/2012,2012,0,0,RHI,CON,11,12
06/23/2012,2012,0,0,ROC,PHO,18,29
06/23/2012,2012,0,0,COL,DET,30,25
06/23/2012,2012,0,0,CIN,IND,17,13
06/24/2012,2012,0,0,IND,COL,22,20
06/24/2012,2012,0,0,CIN,DET,27,24
06/24/2012,2012,0,0,PHO,CON,24,20
06/30/2012,2012,0,0,RHI,IND,1,0
06/30/2012,2012,0,0,PHO,DET,22,23
06/30/2012,2012,0,0,CON,ROC,21,19
06/30/2012,2012,0,0,CIN,COL,1,0
07/01/2012,2012,0,0,ROC,RHI,24,15
07/07/2012,2012,0,0,CIN,CON,1,0
07/07/2012,2012,0,0,COL,ROC,0,1
07/08/2012,2012,0,0,IND,CON,1,0
07/08/2012,2012,0,0,ROC,PHO,13,35
07/08/2012,2012,0,0,DET,COL,27,26
07/14/2012,2012,0,0,CON,DET,0,1
07/14/2012,2012,0,0,RHI,ROC,27,21
07/14/2012,2012,0,0,IND,PHO,16,19
07/15/2012,2012,0,0,IND,COL,20,25
07/15/2012,2012,0,0,CIN,PHO,17,27
07/21/2012,2012,0,0,PHO,RHI,29,20
07/21/2012,2012,0,0,DET,CIN,20,22
07/21/2012,2012,0,0,ROC,CON,1,0
07/22/2012,2012,0,0,COL,CIN,19,17
07/29/2012,2012,0,1,IND,CIN,24,20
